Country/Region,2020-05-10
Afghanistan,558
Albania,650
Algeria,2678
Andorra,550
Angola,13
Anguilla,3
Antigua and Barbuda,19
Argentina,1757
Armenia,1359
Australia,6167
Austria,13991
Azerbaijan,1650
Bahamas,37
Bahrain,2070
Bangladesh,2650
Barbados,57
Belarus,6406
Belgium,13642
Belize,16
Benin,62
Bhutan,5
Bolivia,273
Bosnia and Herzegovina,1106
Botswana,12
Brazil,64957
British Virgin Islands,4
Brunei,134
Bulgaria,461
Burkina Faso,577
Burundi,7
Cabo Verde,56
Cambodia,120
Cameroon,1465
Canada,32096
Caribbean Netherlands,0
Central African Republic,10
Chad,53
Chile,13112
China,79166
Colombia,2705
Comoros,0
Congo (Brazzaville),33
Congo (Kinshasa),136
Costa Rica,501
Cote d'Ivoire,794
Croatia,1764
Cruise Ship,651
Cuba,1193
Cyprus,401
Czechia,4482
Denmark,8415
Djibouti,847
Dominica,15
Dominican Republic,2763
Ecuador,3433
Egypt,2075
El Salvador,325
Equatorial Guinea,13
Eritrea,37
Estonia,751
Eswatini,27
Ethiopia,99
Falkland Islands,13
Fiji,14
Finland,4000
France,57482
Gabon,110
Gambia,9
Georgia,317
Germany,145600
Ghana,378
Greece,1374
Grenada,13
Guatemala,110
Guinea,714
Guinea-Bissau,26
Guyana,35
Haiti,17
Holy See,2
Honduras,203
Hungary,958
Iceland,1773
India,20969
Indonesia,2698
Iran,86143
Iraq,1734
Ireland,17110
Israel,11430
Italy,105186
Jamaica,90
Japan,8127
Jordan,389
Kazakhstan,1941
Kenya,239
"Korea, South",9632
Kuwait,2729
Kyrgyzstan,688
Laos,13
Latvia,464
Lebanon,234
Liberia,79
Libya,24
Liechtenstein,55
Lithuania,833
Luxembourg,3586
MS Zaandam,0
Madagascar,101
Malawi,14
Malaysia,5025
Maldives,29
Mali,351
Malta,433
Mauritania,6
Mauritius,320
Mexico,23100
Moldova,1980
Monaco,82
Mongolia,14
Montenegro,290
Morocco,2554
Mozambique,34
Myanmar,72
Namibia,11
Nepal,31
Netherlands,149
New Zealand,1386
Nicaragua,7
Niger,624
Nigeria,778
North Macedonia,1136
Norway,32
Oman,1211
Pakistan,8212
Palestine,263
Panama,4687
Papua New Guinea,8
Paraguay,165
Peru,21349
Philippines,1924
Poland,5698
Portugal,2549
Qatar,2753
Romania,7051
Russia,39801
Rwanda,140
Saint Kitts and Nevis,14
Saint Lucia,17
Saint Pierre Miquelon,0
Saint Vincent and the Grenadines,9
San Marino,126
Sao Tome and Principe,4
Saudi Arabia,11457
Senegal,650
Serbia,3006
Seychelles,10
Sierra Leone,67
Singapore,2721
Slovakia,959
Slovenia,256
Somalia,118
South Africa,4173
South Sudan,2
Spain,176439
Sri Lanka,343
Sudan,149
Suriname,9
Sweden,4971
Switzerland,26600
Syria,29
Taiwan*,368
Tajikistan,0
Tanzania,183
Thailand,2796
Timor-Leste,21
Togo,89
Trinidad and Tobago,107
Tunisia,700
Turkey,92691
US,256336
Uganda,55
Ukraine,3288
United Arab Emirates,4804
United Kingdom,982
Uruguay,517
Uzbekistan,1881
Venezuela,193
Vietnam,241
Western Sahara,5
World,1499427
Yemen,1
Zambia,117
Zimbabwe,9
